iata,icao,faa,latitude,longitude
,PFCR,01AA,62.0324227780001,-158.236231667
,,1AK2,62.4009419440001,-146.013304722
DCK,PODC,,66.942561417,-156.891368639
SCC,PASC,,70.1947541110001,-148.465164861
,PALP,AK15,70.344277778,-150.94475
,PABP,AK78,70.1374666670001,-147.030438889
,,AA03,70.171284611,-146.258569639
,PAAD,37AA,70.1360000000001,-146.290027778
,,4AK1,70.003830694,-153.077568194
DEE,PADE,,66.069111111,-162.767055556
BIG,PABI,,63.995162694,-145.720055361
,,11AK,63.999605833,-145.502317778
,,D66,64.0501166670001,-145.722465278
,,AA22,64.128147444,-145.808427
,,29AK,64.0467125000001,-145.435845833
,,45AK,63.9618288890001,-145.470091944
,,AK09,64.049606667,-145.502324167
,,9AK4,64.1373611110001,-145.830388889
,,AK35,64.0388625000001,-145.738947222
,,72AK,64.027108889,-145.680174444
,,AK77,63.941427778,-145.422225
,,76AK,64.467463889,-144.920891667
DLG,PADL,,59.0446666670001,-158.5055
,,AK21,59.1325833330001,-157.777180556
,,AA15,59.0589755560001,-158.57719
,PPDM,DM2,65.7586111110001,-168.953055556
,PAAM,AK23,53.9719805560001,-166.857405556
EAA,PAEG,,64.778083333,-141.149611111
,,47AK,61.2925000000001,-149.5325
,,D72,61.3525194440001,-149.54635
EEK,PAEE,,60.2136944440001,-162.043888889
EII,PAII,,58.185490278,-157.375427778
KKU,,,58.8111925000001,-158.5588425
KEK,,,59.3568388890001,-157.471139444
ERO,,,58.9716805560001,-135.222025
ELV,PAEL,,58.195184167,-136.347392778
ELI,PFEL,,64.6149722220001,-162.270527778
MOS,,,64.6981819440001,-162.057299167
,,1Z9,60.893907778,-146.703691944
ENM,PAEM,,62.786138889,-164.49075
,,2Z2,65.1759113890001,-150.220538611
,,2Z3,64.0421111110001,-148.863138889
EXI,,,58.420498611,-135.449032778
,,2Z5,64.8328994440001,-147.848258333
,,AK28,64.8140277780001,-147.918555556
,,AK22,64.821666667,-147.521666667
,,32AK,64.909286111,-147.913961111
,,25AA,64.928658333,-147.880572222
MTF,,,64.80679,-147.762421111
,,31AK,64.832907778,-147.424643333
,,AK52,64.888888889,-147.535594444
FBK,PAFB,,64.8376122220001,-147.614491944
,,2AK1,64.3634888890001,-147.365041667
,,2AK2,64.453458611,-147.563491944
,PAAN,AK7,64.198055556,-147.928611111
EIL,PAEI,,64.665639722,-147.101430278
,,83AK,65.2565000000001,-148.830255556
FAI,PAFA,,64.815355556,-147.856666667
,,2Z6,57.5321544440001,-135.213451111
KFP,PAKF,,54.847861111,-163.407111111
,,0AA4,62.5091833330001,-153.890626389
TNW,PAFL,,62.5321222220001,-153.612788889
FKK,PAFK,,62.5424538890001,-153.62251
,,3Z1,64.831727222,-166.131522222
,,2AK3,57.2699363890001,-133.631451389
FLT,,,62.4527805560001,-157.986747222
FYU,PFYU,,66.572416667,-145.246333333
FNR,PANR,,58.2543858330001,-134.897906667
GBH,PAGB,,68.4796666670001,-149.489916667
GAL,PAGA,,64.7361897220001,-156.934554722
GAM,PAGM,,63.766616389,-171.732783889
AQY,,,60.969022222,-149.119345833
KGZ,,,61.4551344440001,-142.380950833
,,3Z8,59.7470394440001,-158.8747275
GLV,PAGL,,64.5504586110001,-163.007171944
GNU,,,59.1178611110001,-161.573666667
,,Z40,61.3946500000001,-149.842269444
GSZ,PAGZ,,65.4021333330001,-161.281475
KGX,PAGX,,62.8920853060001,-160.066396889
GKN,PAGK,,62.154334722,-145.455291667
,,8AK1,62.2802833330001,-145.362766667
GST,PAGS,,58.4252777780001,-135.707416667
HNS,PAHN,,59.2438291670001,-135.5235375
,,AK17,59.7635647220001,-151.223241944
,,AK18,59.8285491670001,-153.080824722
,,2AK4,59.47,-151.5125
,,98AK,59.7758416670001,-151.181630556
,,4AA4,59.652261111,-151.55
,,46AK,59.738288889,-151.029894167
,,0AK7,59.776069444,-150.958513889
OOH,POOH,,58.112159444,-135.451805
HNH,PAOH,,58.0961991670001,-135.40875625
HPB,PAHP,,61.5238705560001,-166.146622778
,,5HO,60.907252778,-149.622811111
,,4Z5,62.007233333,-141.182113889
,,13AK,61.6547,-149.9
,,4Z9,59.4521605560001,-151.522381111
,,AK60,57.8850997220001,-157.096820278
JNU,PAJN,,58.3547118060001,-134.578470528
,,AK94,58.390780556,-134.7768
,,AA44,58.328702778,-134.465711111
,,73AK,58.591666667,-134.9
,,18AK,58.332173611,-134.497053333
KAE,,,56.9729963890001,-133.945614722
AFE,PAFE,,56.9613625000001,-133.910261111
,PABU,8AK7,70.1727777780001,-146.836111111
,,1KC,64.4244472220001,-156.843338889
KLG,PALG,,61.5359722220001,-160.345583333
,,8AK2,60.7021472220001,-151.293972222
,,2R3,60.7044361110001,-151.311402778
,,30AK,60.502758333,-151.260002778
,,3AK4,60.6324888890001,-151.340013333
,,6AK3,60.729440556,-151.278068333
,,03AK,60.7272222220001,-151.132777778
,,75AK,60.5930666670001,-151.327955556
,,9C0,55.3846505560001,-131.738352222
,,17AK,55.3829841670001,-131.735018333
KTN,PAKT,,55.3540833330001,-131.711222222
,,5KE,55.3444638890001,-131.663438889
,,8K9,55.389650278,-131.738074167
IAN,PAIK,,66.9761775000001,-160.438599167
JZZ,PAJZ,,59.72675,-157.26025
DUY,PADY,,59.961630556,-162.880593056
,PFKO,2A9,63.030583333,-163.532638889
OTZ,PAOT,,66.8848055560001,-162.598138889
KKA,PAKK,,64.9395277780001,-161.154277778
KYU,PFKU,,64.875805556,-157.730444444
LKK,PAKL,,58.9650055560001,-155.0956125
UBW,PAKU,,70.3306666670001,-149.598055556
,,AA38,70.482480556,-149.853233333
,,AA51,70.55625,-149.910527778
KWT,PFKW,,60.790333333,-161.443694444
,,AK0,61.2188722220001,-142.891211111
,,56AK,62.545388889,-154.002111111
MCG,PAMC,,62.952783917,-155.607048056
,,AK40,63.2291805560001,-154.760336111
,,16Z,62.9579850000001,-155.593179167
INR,PAIN,,63.7325983330001,-148.910638333
,,AK06,63.640379167,-148.791993056
,,4AK5,62.9898822220001,-144.479998889
MLY,PAML,,64.987944444,-150.647583333
MBA,PAMB,,58.9320555560001,-158.901888889
MDM,PADM,,61.8641666670001,-162.026111111
MYK,,,61.3361611110001,-142.685886111
,,0AK5,61.356513889,-142.733444444
,,76Z,58.927605,-157.047152222
,,5NK,58.7346628610001,-157.025210417
,,4AK9,58.7342697220001,-157.007141944
,,78Z,61.703319444,-150.007138889
KEB,,,59.3521483330001,-151.925155833
,,4AK8,61.536313889,-158.738963889
WNA,PANA,,60.6903333330001,-161.9785
PKA,PAPK,,60.7029125000001,-161.7783075
OUL,PAOU,,56.007536111,-161.160367222
ENN,PANN,,64.5473000000001,-149.073925
KNW,PANW,,59.4515277780001,-157.373166667
WWT,,,60.9236541670001,-164.656213889
,,5AK2,64.730686667,-147.347686667
,,5AK3,64.773187222,-147.333802222
,,AK41,64.5438888890001,-146.844166667
,,AA76,64.769444444,-147.329444444
,,78AA,64.771761111,-147.246691667
ORT,PAOR,,62.961166667,-141.928083333
,,33AK,62.5172561110001,-150.945341667
AQT,PAQT,,70.2098333330001,-151.006472222
,PFNU,AK32,70.4954222220001,-150.253466667
